county_fips,state_code,region,as_weighted_avg20062011,ba_weighted_avg20062011,be_weighted_avg20062011,cd_weighted_avg20062011,cr_weighted_avg20062011,hg_weighted_avg20062011,se_weighted_avg20062011,u_weighted_avg20002011
21095,KY,SE,0.35,90.73,0.14,0.04,0.31,0.14,0.79,1
21097,KY,SE,0.35,8.88,0.14,0.04,0.06,0.14,0.42,0.35
21101,KY,SE,0.35,13.41,0.14,0.04,0.06,0.14,2.84,0.36
21103,KY,SE,0.35,20.79,0.14,0.04,0.06,0.14,0.42,0.35
21111,KY,SE,0.35,12.95,0.14,0.04,1.9,0.14,0.42,0.35
21113,KY,SE,0.35,29.09,0.14,0.04,0.06,0.14,0.42,0.47
21117,KY,SE,0.35,28.14,0.14,0.04,0.06,0.14,0.42,0.4
21119,KY,SE,0.35,372.03,0.14,0.04,0.06,0.14,0.42,0.5
21127,KY,SE,0.35,8.81,0.14,0.04,0.06,0.14,0.42,0.35
21133,KY,SE,0.35,19.13,0.14,0.04,0.22,0.14,1.39,1.5
21135,KY,SE,0.68,0.57,0.14,0.04,0.41,0.14,0.62,2.09
21137,KY,SE,0.35,7.12,0.14,0.04,0.06,0.14,0.42,0.35
21139,KY,SE,0.35,16.82,0.14,0.04,0.06,0.14,0.42,0.35
21149,KY,SE,0.35,19.98,0.14,0.04,0.06,0.14,0.42,0.7
21157,KY,SE,0.35,17.4,0.14,0.04,0.4,0.14,0.71,0.35
21163,KY,SE,0.35,17.29,0.14,0.04,0.06,0.14,0.42,0.41
21179,KY,SE,0.35,17.86,0.14,0.04,0.06,0.14,0.42,0.35
21183,KY,SE,0.49,27.29,0.75,0.16,0.25,0.13,0.68,0.65
